Year,Results,MVP
2015,"Royals 4, Mets 1",Salvador Perez
2014,"Giants 4, Royals 3",Madison Bumgarner
2013,"Red Sox 4, Cardinals 2",David Ortiz
2012,"Giants 4, Tigers 0",Pablo Sandoval
2011,"Cardinals 4, Rangers 3",David Freese
2010,"Giants 4, Rangers 1",Edgar Renteria
2009,"Yankees 4, Phillies 2",Hideki Matsui
2008,"Philadelphia 4, Tampa Bay 1",Cole Hamels
2007,"Boston 4, Colorado 0",Mike Lowell
2006,"St. Louis 4, Detroit 1",David Eckstein
2005,"Chi. White Sox 4, Houston 0",Jermaine Dye
2004,"Boston 4, St. Louis 0",Manny Ramirez
2003,"Florida 4, NY Yankees 2",Josh Beckett
2002,"Anaheim 4, San Francisco 3",Troy Glaus
2001,"Arizona 4, NY Yankees 3",Schilling/Johnson
2000,"NY Yankees 4, NY Mets 1",Derek Jeter
Year,Results,MVP
1999,"NY Yankees 4, Atlanta 0",Mariano Rivera
1998,"NY Yankees 4, San Diego 0",Scott Brosius
1997,"Florida 4, Cleveland 3",Livan Hernandez
1996,"NY Yankees 4, Atlanta 2",John Wetteland
1995,"Atlanta 4, Cleveland 2",Tom Glavine
1994,Not Held,N/A
1993,"Toronto 4, Philadelphia 2",Paul Molitor
1992,"Toronto 4, Atlanta 2",Pat Borders
1991,"Minnesota 4, Atlanta 3",Jack Morris
1990,"Cincinnati 4, Oakland 0",Jose Rijo
Year,Results,MVP
1989,"Oakland 4, San Francisco 0",Dave Stewart
Year,Results,MVP
1979,"Pittsburgh 4, Baltimore 3",Willie Stargell
